country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
CHL,-27.41499,-70.25887,316.03,0.52,0.5,2023-12-19,516,N,VIIRS,n,2.0NRT,287.03,4.12,N
CHL,-27.41383,-70.26422,339.03,0.52,0.5,2023-12-19,516,N,VIIRS,n,2.0NRT,287.03,6.94,N
CHL,-26.4319,-69.47795,295.84,0.49,0.48,2023-12-19,516,N,VIIRS,n,2.0NRT,281.98,1.91,N
CHL,-23.78301,-70.32303,295.46,0.62,0.54,2023-12-19,516,N,VIIRS,n,2.0NRT,284.31,1.51,N
CHL,-22.48458,-68.88462,337.59,0.54,0.51,2023-12-19,516,N,VIIRS,n,2.0NRT,282.68,16.85,N
CHL,-22.31792,-68.88277,309.39,0.54,0.51,2023-12-19,516,N,VIIRS,n,2.0NRT,281.5,1.89,N
CHL,-22.31651,-68.88036,325.18,0.54,0.51,2023-12-19,516,N,VIIRS,n,2.0NRT,283.62,4.58,N
CHL,-22.31344,-68.8809,305.95,0.54,0.51,2023-12-19,516,N,VIIRS,n,2.0NRT,284.15,1.66,N
CHL,-34.10709,-70.454,330.43,0.39,0.44,2023-12-19,518,N,VIIRS,n,2.0NRT,286.21,4.36,N
CHL,-34.1062,-70.45829,339.48,0.39,0.44,2023-12-19,518,N,VIIRS,n,2.0NRT,291.01,16.69,N
CHL,-34.10318,-70.4523,303.5,0.39,0.44,2023-12-19,518,N,VIIRS,n,2.0NRT,284.93,4.36,N
CHL,-33.29583,-70.72679,305.8,0.42,0.45,2023-12-19,518,N,VIIRS,n,2.0NRT,287.84,1.64,N
CHL,-33.29493,-70.7301,328.39,0.42,0.45,2023-12-19,518,N,VIIRS,n,2.0NRT,289.97,2.76,N
CHL,-33.29488,-70.73131,313.36,0.42,0.45,2023-12-19,518,N,VIIRS,n,2.0NRT,289.27,1.64,N
CHL,-32.80456,-70.9558,310.54,0.44,0.46,2023-12-19,518,N,VIIRS,n,2.0NRT,286.76,3.35,N
CHL,-32.80259,-70.95235,338.07,0.44,0.46,2023-12-19,518,N,VIIRS,n,2.0NRT,288.33,4.56,N
CHL,-32.80033,-70.95453,338.43,0.44,0.46,2023-12-19,518,N,VIIRS,n,2.0NRT,288.02,3.35,N
CHL,-32.77782,-70.68388,295.06,0.43,0.46,2023-12-19,518,N,VIIRS,n,2.0NRT,284.52,0.66,N
CHL,-39.41957,-71.94626,333.13,0.55,0.43,2023-12-19,520,N,VIIRS,n,2.0NRT,267.18,8.38,N
CHL,-39.4178,-71.94629,330.63,0.55,0.43,2023-12-19,520,N,VIIRS,n,2.0NRT,269.33,10.15,N
CHL,-39.41557,-71.94556,332.13,0.55,0.43,2023-12-19,520,N,VIIRS,n,2.0NRT,267.63,3.58,N
CHL,-36.74687,-73.13143,297.46,0.47,0.48,2023-12-19,520,N,VIIRS,n,2.0NRT,284.01,0.91,N
CHL,-36.74252,-73.12994,303.71,0.47,0.48,2023-12-19,520,N,VIIRS,n,2.0NRT,284.56,1.69,N
CHL,-33.68916,-70.74218,367,0.47,0.64,2023-12-19,1741,N,VIIRS,h,2.0NRT,300.32,14.06,D
CHL,-33.53524,-70.95522,351.57,0.48,0.64,2023-12-19,1741,N,VIIRS,n,2.0NRT,301.01,20.8,D
CHL,-33.53499,-70.94978,367,0.48,0.64,2023-12-19,1741,N,VIIRS,h,2.0NRT,303.62,20.8,D
CHL,-33.53448,-70.95233,367,0.48,0.64,2023-12-19,1741,N,VIIRS,h,2.0NRT,307.84,41.95,D
CHL,-27.41467,-70.31544,345.21,0.38,0.59,2023-12-19,1741,N,VIIRS,n,2.0NRT,309.01,2.91,D
CHL,-26.43294,-69.47668,367,0.34,0.56,2023-12-19,1743,N,VIIRS,h,2.0NRT,317.86,12.12,D
CHL,-34.3106,-71.08758,367,0.4,0.6,2023-12-19,1921,N,VIIRS,h,2.0NRT,301.45,20,D
CHL,-34.10756,-70.45574,349.2,0.44,0.62,2023-12-19,1921,N,VIIRS,n,2.0NRT,305.14,4.53,D
CHL,-33.69104,-70.74,349.57,0.43,0.62,2023-12-19,1921,N,VIIRS,n,2.0NRT,301.44,6.78,D
CHL,-33.69072,-70.73982,350.24,0.43,0.62,2023-12-19,1921,N,VIIRS,n,2.0NRT,302.14,6,D
CHL,-33.56034,-70.9443,347.96,0.42,0.61,2023-12-19,1921,N,VIIRS,n,2.0NRT,313.84,54.78,D
CHL,-33.55878,-70.93843,349.22,0.42,0.61,2023-12-19,1921,N,VIIRS,n,2.0NRT,314.63,54.78,D
CHL,-33.55727,-70.93272,344.72,0.42,0.61,2023-12-19,1921,N,VIIRS,n,2.0NRT,312.42,80.18,D
CHL,-33.55589,-70.95055,347.96,0.42,0.61,2023-12-19,1921,N,VIIRS,n,2.0NRT,306.86,42.98,D
CHL,-33.55577,-70.92706,367,0.42,0.61,2023-12-19,1921,N,VIIRS,h,2.0NRT,314.22,80.18,D
CHL,-33.55531,-70.95075,340.09,0.42,0.61,2023-12-19,1921,N,VIIRS,n,2.0NRT,312.3,45.53,D
CHL,-33.5547,-70.94607,351.35,0.42,0.61,2023-12-19,1921,N,VIIRS,l,2.0NRT,333.73,59.9,D
CHL,-33.55434,-70.92166,367,0.42,0.61,2023-12-19,1921,N,VIIRS,h,2.0NRT,297.5,41.65,D
CHL,-33.55413,-70.94621,355.76,0.42,0.61,2023-12-19,1921,N,VIIRS,n,2.0NRT,329.89,55.96,D
CHL,-33.55342,-70.94125,367,0.42,0.61,2023-12-19,1921,N,VIIRS,h,2.0NRT,301.88,59.9,D
CHL,-33.55289,-70.94141,356.61,0.42,0.61,2023-12-19,1921,N,VIIRS,n,2.0NRT,300.63,55.96,D
CHL,-33.55212,-70.93633,354.22,0.42,0.61,2023-12-19,1921,N,VIIRS,n,2.0NRT,300.51,42.9,D
CHL,-33.55164,-70.93655,356.05,0.42,0.61,2023-12-19,1921,N,VIIRS,n,2.0NRT,299.13,25.15,D
CHL,-33.55118,-70.95584,355.81,0.42,0.61,2023-12-19,1921,N,VIIRS,n,2.0NRT,303.82,42.98,D
CHL,-33.55069,-70.93095,367,0.42,0.61,2023-12-19,1921,N,VIIRS,h,2.0NRT,304.77,42.9,D
CHL,-33.55058,-70.95603,353.06,0.42,0.61,2023-12-19,1921,N,VIIRS,n,2.0NRT,305.69,45.53,D
CHL,-33.55026,-70.93124,367,0.42,0.61,2023-12-19,1921,N,VIIRS,h,2.0NRT,302.44,25.15,D
