country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
CHL,-19.15447,-68.83458,295.96,0.49,0.49,2023-12-24,520,N,VIIRS,n,2.0NRT,275.99,1.07,N
CHL,-26.43569,-69.48205,296.53,0.4,0.44,2023-12-24,522,N,VIIRS,n,2.0NRT,285.11,0.83,N
CHL,-26.43478,-69.48023,305.86,0.4,0.44,2023-12-24,522,N,VIIRS,n,2.0NRT,285.52,1.45,N
CHL,-26.43244,-69.47704,317.66,0.4,0.44,2023-12-24,522,N,VIIRS,n,2.0NRT,285.33,1.36,N
CHL,-22.31665,-68.87888,328.98,0.43,0.46,2023-12-24,522,N,VIIRS,n,2.0NRT,285.7,3.09,N
CHL,-22.31581,-68.88312,314.64,0.43,0.46,2023-12-24,522,N,VIIRS,n,2.0NRT,286.34,4.34,N
CHL,-32.8049,-70.95518,305.77,0.55,0.43,2023-12-24,525,N,VIIRS,n,2.0NRT,287.48,1.49,N
CHL,-32.80263,-70.95347,339.5,0.55,0.43,2023-12-24,525,N,VIIRS,n,2.0NRT,288.83,7.85,N
CHL,-32.801,-70.95409,328.49,0.55,0.43,2023-12-24,525,N,VIIRS,n,2.0NRT,288.5,6.46,N
CHL,-30.63401,-71.2971,308.53,0.42,0.45,2023-12-24,525,N,VIIRS,n,2.0NRT,283.99,1.01,N
CHL,-39.42267,-71.94086,302,0.47,0.4,2023-12-24,527,N,VIIRS,n,2.0NRT,267.12,1.08,N
CHL,-39.41907,-71.93955,327.01,0.47,0.4,2023-12-24,527,N,VIIRS,n,2.0NRT,283.78,26.68,N
CHL,-39.41781,-71.94588,302.1,0.47,0.4,2023-12-24,527,N,VIIRS,n,2.0NRT,268.89,26.68,N
CHL,-38.22432,-73.4164,312.03,0.57,0.43,2023-12-24,527,N,VIIRS,n,2.0NRT,279.88,2.35,N
CHL,-38.22421,-73.4162,318.5,0.57,0.43,2023-12-24,527,N,VIIRS,n,2.0NRT,280.5,1.62,N
CHL,-38.22035,-73.41513,310.52,0.57,0.43,2023-12-24,527,N,VIIRS,n,2.0NRT,281.27,2.35,N
CHL,-38.22025,-73.41493,315.32,0.57,0.43,2023-12-24,527,N,VIIRS,n,2.0NRT,281.29,1.62,N
CHL,-38.02546,-72.14359,307.62,0.51,0.41,2023-12-24,527,N,VIIRS,n,2.0NRT,283.93,1.14,N
CHL,-37.89291,-73.51775,295.99,0.39,0.44,2023-12-24,527,N,VIIRS,n,2.0NRT,282.88,0.5,N
CHL,-36.78251,-73.12861,305.64,0.39,0.44,2023-12-24,527,N,VIIRS,n,2.0NRT,286.09,0.67,N
CHL,-34.10693,-70.45641,339.94,0.5,0.41,2023-12-24,527,N,VIIRS,n,2.0NRT,289.37,7.83,N
