country_id,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
CHL,-35.84148,-71.60989,310.64,3.47,1.75,2023-12-24,1503,Terra,MODIS,53,6.1NRT,299.02,27.47,D
CHL,-35.59811,-71.7233,311.13,3.39,1.74,2023-12-24,1503,Terra,MODIS,34,6.1NRT,299.45,24.25,D
CHL,-37.48451,-72.33624,308.99,3.23,1.7,2023-12-24,1505,Terra,MODIS,13,6.1NRT,295.65,21.52,D
CHL,-37.46918,-72.33506,309.22,3.23,1.7,2023-12-24,1505,Terra,MODIS,33,6.1NRT,296.82,23.73,D
CHL,-37.46719,-72.3712,311.39,3.21,1.7,2023-12-24,1505,Terra,MODIS,58,6.1NRT,296.22,32.02,D
CHL,-36.6188,-72.09775,314.02,3.28,1.71,2023-12-24,1505,Terra,MODIS,54,6.1NRT,297.5,31.76,D
CHL,-41.39353,-72.90285,305.64,1.53,1.22,2023-12-24,1857,Aqua,MODIS,17,6.1NRT,293.5,6.8,D
CHL,-40.34236,-72.95104,310.23,1.49,1.21,2023-12-24,1857,Aqua,MODIS,52,6.1NRT,297.91,9.52,D
CHL,-40.30749,-73.07226,308.55,1.51,1.21,2023-12-24,1857,Aqua,MODIS,33,6.1NRT,295.27,5.98,D
CHL,-40.07261,-72.87339,308.66,1.47,1.2,2023-12-24,1857,Aqua,MODIS,50,6.1NRT,297.04,9.89,D
CHL,-39.36838,-72.62662,309.33,1.4,1.17,2023-12-24,1857,Aqua,MODIS,48,6.1NRT,298,9.02,D
CHL,-39.29805,-72.22569,312.78,1.33,1.14,2023-12-24,1857,Aqua,MODIS,12,6.1NRT,298.89,9.77,D
CHL,-38.98925,-72.64111,313.33,1.38,1.16,2023-12-24,1857,Aqua,MODIS,49,6.1NRT,301.45,10.07,D
CHL,-38.76595,-72.75712,312.02,1.39,1.17,2023-12-24,1857,Aqua,MODIS,59,6.1NRT,301.49,8.23,D
CHL,-38.74932,-72.94726,310.89,1.42,1.18,2023-12-24,1857,Aqua,MODIS,52,6.1NRT,300,8.13,D
CHL,-38.52198,-72.43311,311.59,1.33,1.14,2023-12-24,1857,Aqua,MODIS,20,6.1NRT,300.97,7.1,D
CHL,-38.25317,-72.67152,314.19,1.36,1.15,2023-12-24,1857,Aqua,MODIS,60,6.1NRT,303.39,8.83,D
CHL,-37.90878,-73.50246,321.35,1.49,1.21,2023-12-24,1857,Aqua,MODIS,58,6.1NRT,298.14,28.68,D
CHL,-37.71958,-72.24554,316.64,1.28,1.12,2023-12-24,1857,Aqua,MODIS,44,6.1NRT,304.45,8.05,D
CHL,-37.48413,-73.34022,311.89,1.44,1.19,2023-12-24,1857,Aqua,MODIS,38,6.1NRT,300.01,12.33,D
CHL,-37.12542,-72.01384,316.49,1.22,1.1,2023-12-24,1900,Aqua,MODIS,40,6.1NRT,305.67,7.36,D
CHL,-36.42786,-71.95479,320.62,1.2,1.09,2023-12-24,1900,Aqua,MODIS,34,6.1NRT,308.81,8.26,D
CHL,-36.1488,-71.83659,321.22,1.17,1.08,2023-12-24,1900,Aqua,MODIS,37,6.1NRT,309.74,7.9,D
