latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-38.34678,-72.73779,303.52,1.9,1.35,2023-02-01,0300,Terra,MODIS,56,6.1NRT,284.69,20.34,N
-37.93085,-72.43791,302.89,1.8,1.31,2023-02-01,0300,Terra,MODIS,52,6.1NRT,287.85,15.72,N
-38.34306,-72.74361,312.41,1.9,1.35,2023-02-01,0300,Terra,MODIS,85,6.1NRT,284.98,36.11,N
-38.33931,-72.73691,310.21,2.23,1.45,2023-02-01,0641,Aqua,MODIS,79,6.1NRT,281.81,42.87,N
-38.33826,-72.71558,302.91,2.24,1.45,2023-02-01,0641,Aqua,MODIS,52,6.1NRT,282.14,27.56,N
-38.33641,-72.74129,311.43,2.23,1.45,2023-02-01,0641,Aqua,MODIS,82,6.1NRT,282.24,45.33,N
-38.20038,-72.3297,309.49,2.14,1.42,2023-02-01,1401,Terra,MODIS,41,6.1NRT,297,14.57,D
-38.33992,-72.73447,309.27,2.24,1.45,2023-02-01,1401,Terra,MODIS,41,6.1NRT,295.42,19.13,D
-39.37623,-72.63012,314.39,1.42,1.18,2023-02-01,1842,Aqua,MODIS,47,6.1NRT,302.98,11.44,D
-35.12458,-71.24168,339.07,1.1,1.05,2023-02-01,1845,Aqua,MODIS,86,6.1NRT,317.65,29.8,D
-32.80693,-70.95461,326.29,1.04,1.02,2023-02-01,1845,Aqua,MODIS,70,6.1NRT,307.9,12.71,D
-35.59969,-71.72878,322.35,1.16,1.07,2023-02-01,1845,Aqua,MODIS,46,6.1NRT,310.54,8.27,D
-36.66499,-72.11446,310.01,1.34,1.15,2023-02-02,0340,Terra,MODIS,65,6.1NRT,290.64,13.3,N
-36.64198,-72.10538,334.64,1.34,1.15,2023-02-02,0340,Terra,MODIS,100,6.1NRT,291.7,54.76,N
-36.63932,-72.0906,360.87,1.34,1.15,2023-02-02,0340,Terra,MODIS,100,6.1NRT,294.18,137.81,N
-36.65216,-72.10248,355.31,1.34,1.15,2023-02-02,0340,Terra,MODIS,100,6.1NRT,294.48,114.1,N
-38.14071,-73.02293,300.21,1.16,1.07,2023-02-02,0340,Terra,MODIS,22,6.1NRT,284.25,7.32,N
-38.13113,-73.02517,312.35,1.16,1.07,2023-02-02,0340,Terra,MODIS,85,6.1NRT,284.67,16.87,N
-38.1333,-73.03817,301.63,1.15,1.07,2023-02-02,0340,Terra,MODIS,43,6.1NRT,283.6,8.15,N
-37.38135,-73.3313,309.74,1.15,1.07,2023-02-02,0340,Terra,MODIS,78,6.1NRT,284.09,14.92,N
-36.68114,-72.10342,305.82,1.34,1.15,2023-02-02,0340,Terra,MODIS,39,6.1NRT,291.53,9.7,N
-36.67256,-72.09689,330.69,1.34,1.15,2023-02-02,0340,Terra,MODIS,100,6.1NRT,294.33,44.59,N
-36.65972,-72.08489,349.79,1.34,1.15,2023-02-02,0340,Terra,MODIS,100,6.1NRT,296.31,94.35,N
-36.66236,-72.0997,389.01,1.34,1.15,2023-02-02,0340,Terra,MODIS,100,6.1NRT,301.79,297.05,N
-36.64951,-72.08769,359.9,1.34,1.15,2023-02-02,0340,Terra,MODIS,100,6.1NRT,298.54,132.63,N
-34.11052,-70.4642,300.78,1.89,1.34,2023-02-02,0342,Terra,MODIS,33,6.1NRT,288.23,15.33,N
