comuna,geometry
AISEN,"POLYGON ((-73.4033682490472 -47.0640060457191, -73.6235649954004 -47.063095098048, -73.6446028053948 -47.0626786984652, -73.8639261617155 -47.0533410013257, -75.4363965636149 -46.9666345151426, -75.4697255835139 -46.961942866126, -75.4706465616729 -46.9617818505565, -75.4905330197191 -46.9539014621195, -75.4913890045482 -46.9533054539124, -75.5745868428725 -46.88367399459, -75.6398114941726 -46.8035220813529, -75.640230542175 -46.8026511279098, -75.6491588523555 -46.7189835648733, -75.6386293793701 -46.6775506324474, -75.6177551077294 -46.6031625288831, -74.9352300730169 -45.6267518869617, -74.6521334369316 -45.2444198366744, -74.4190868416406 -45.0467302390163, -74.4184377714596 -45.0462532490273, -74.4146265867338 -45.043656401231, -74.3706796378044 -45.0385004330194, -73.6671119898625 -44.9599959826495, -73.5180883976824 -44.9634210949083, -72.2789370244929 -45.0027718827346, -72.275193912539 -45.003095969495, -72.2742149299198 -45.0031989633886, -72.1532595923942 -45.0168983113145, -72.0350144887403 -45.0556302145603, -72.0326484317394 -45.0565491803968, -71.9624328215405 -45.086006262245, -71.9607568635245 -45.0871282533759, -71.960123834025 -45.0884662134277, -71.9682425519423 -45.1932214010485, -72.128258533389 -45.5320243379637, -73.3866842938596 -47.0579694564741, -73.3991220055876 -47.0632801122067, -73.4010851461112 -47.0637740916008, -73.4016412072382 -47.0638310707637, -73.4033682490472 -47.0640060457191))"
ALGARROBO,"POLYGON ((-71.5868988624573 -33.3995096309641, -71.6017814106997 -33.39948438785, -71.6489171403464 -33.3978886206206, -71.6528801708624 -33.3973566392977, -71.6831798369924 -33.3750211366627, -71.694043025444 -33.366454945312, -71.6644999372064 -33.2812456262422, -71.6636138669537 -33.2798166452808, -71.6483730225267 -33.2673779095032, -71.6448048761845 -33.2645079708823, -71.6436368009806 -33.2636730483354, -71.5938506683159 -33.2530618837772, -71.5918246820528 -33.2531038783836, -71.551743228952 -33.2560195422555, -71.5360307406577 -33.2589187728284, -71.5347957171702 -33.2593537557159, -71.533209681484 -33.2602038052712, -71.5313286007851 -33.2616338096568, -71.5269695735995 -33.2672869552825, -71.5268825640855 -33.2678619018629, -71.5215252551094 -33.3040249426694, -71.5219236928501 -33.3216489194254, -71.536280770941 -33.3903535641332, -71.5372528885261 -33.3914425071671, -71.5386349532551 -33.3924374964417, -71.5469852902829 -33.3950073425579, -71.5868988624573 -33.3995096309641))"
ALHUE,"POLYGON ((-71.075766642497 -34.1824052716324, -71.0785047120632 -34.1822971425999, -71.0844239574809 -34.181037105999, -71.1588713133542 -34.1638238628718, -71.1809909921272 -34.1580015631604, -71.1921701751737 -34.1514563612301, -71.2182036173308 -34.1309130242453, -71.2220997237018 -34.1273029866714, -71.2264018144572 -34.1227709501396, -71.2595631330077 -34.0841494294727, -71.2988524085148 -34.0361908938083, -71.3016164438323 -34.0326159190774, -71.2989322042261 -34.0291789054107, -71.2099332908021 -33.9635876157021, -71.2069381817741 -33.9616576688356, -71.0866111774423 -33.8934798046703, -71.0852460368454 -33.8929968216137, -71.068256333165 -33.890009106487, -71.015008372328 -33.8876239833863, -70.8232307983757 -33.9511130067729, -70.7969003540137 -33.9748883778822, -70.793563559785 -33.9915594002937, -70.7936056608918 -33.9935524108951, -70.794337782664 -33.9959394252873, -70.794779784089 -33.9973794263553, -70.9172930735191 -34.150645006597, -70.9192641023021 -34.1517319247843, -70.9707294989589 -34.1721149819172, -70.97551871773 -34.1727099609918, -71.075766642497 -34.1824052716324))"
ALTO DEL CARMEN,"POLYGON ((-70.0861457729562 -29.5344298761413, -70.1344993955687 -29.5302200829243, -70.1739027552278 -29.5236775025367, -70.1749378313092 -29.523307489919, -70.1911242042232 -29.5171602995399, -70.4605655056689 -29.3840839969936, -70.46264052849 -29.3821018858902, -70.4774287879687 -29.3678546316346, -70.5425131873813 -29.1013218217722, -70.5906283002114 -28.8505712266921, -70.619515475216 -28.6941672611112, -70.6208853050634 -28.6853442370642, -70.6204682867316 -28.6808512456828, -70.5874613292161 -28.6409575392493, -70.5860352716533 -28.6398265828762, -70.5062168817219 -28.6085865568022, -70.1430311626634 -28.5787425550838, -70.008690206408 -28.5724954026172, -69.707168245502 -28.5726115929163, -69.7054211513591 -28.5734566013837, -69.6976399931069 -28.5786287745283, -69.6866969810494 -28.6015610647662, -69.6920512413018 -28.7712157106883, -69.7869182971529 -29.1282297231419, -69.7874142496637 -29.1295087733576, -69.9496840279425 -29.4948336458069, -69.9505511017651 -29.4960746657268, -69.9543123390636 -29.4987976459681, -70.0328906402984 -29.5232405586816, -70.0861457729562 -29.5344298761413))"
ANCUD,"POLYGON ((-73.7169963025756 -42.2515937077207, -73.9600680102706 -42.2401058737519, -74.0805381767894 -42.2286905665134, -74.0887554897129 -42.2278603743051, -74.1180764287641 -42.223783868737, -74.1291566524932 -42.2204686453411, -74.1356568054599 -42.2185025336562, -74.1610558182415 -42.1927024137151, -74.1618118095295 -42.1918943650767, -74.1618288126516 -42.1906114221848, -74.0537955078301 -41.8019538164963, -74.0530854287678 -41.8011647942721, -74.0128770441383 -41.7756279149322, -74.0095328482645 -41.7739840757787, -74.0035085165227 -41.771330165236, -74.0013804067031 -41.7709172548292, -73.9021755431155 -41.7659533535956, -73.5853384619909 -41.7921654876958, -73.5410990145636 -41.795868318342, -73.5382779137646 -41.7963843817409, -73.5354358629225 -41.7978464177099, -73.4766917583163 -41.8301092047276, -73.4755437537401 -41.8311181541221, -73.475397783782 -41.8325352008888, -73.4693341838534 -41.9029613583879, -73.4693171934669 -41.9036703508883, -73.5359524988693 -42.1735225072115, -73.5367187524657 -42.1764104462957, -73.7060038848936 -42.2512819507938, -73.7169963025756 -42.2515937077207))"
ANDACOLLO,"POLYGON ((-71.1594626033873 -30.4050400363394, -71.1609676414321 -30.4046640503309, -71.2080203895757 -30.356058206109, -71.2090103629326 -30.3544161991121, -71.2208349323161 -30.3131819945156, -71.2094072310745 -30.1466128357223, -71.2088442505739 -30.1458588577794, -71.2055750499567 -30.1427339142252, -71.1977675848726 -30.1354869747144, -71.195946501359 -30.1343090688383, -71.129719740927 -30.1113749806242, -71.1277106136694 -30.1106809719197, -71.075405166184 -30.1350488613094, -70.9327680668605 -30.2399781670757, -70.9281450262188 -30.2445342684055, -70.9258970415506 -30.2483052362734, -70.9180239970788 -30.2620654061983, -70.9170800207369 -30.2641144532352, -70.9064621555929 -30.2909346259098, -70.9458080994914 -30.3145320779924, -71.0693608780725 -30.384655396747, -71.1580535517812 -30.4048880620683, -71.1594626033873 -30.4050400363394))"
ANGOL,"POLYGON ((-72.5786452519874 -38.0226281769933, -72.6030501015335 -38.0203677494902, -73.0127435037498 -37.8589264464302, -73.0433038119579 -37.8328361140511, -73.1089218454119 -37.7186897703717, -73.1133457816885 -37.7104917263109, -73.1239136220532 -37.6894157012, -73.1241735853971 -37.6883376967693, -73.1240235287301 -37.6873836521842, -73.0713206652458 -37.6214532169591, -73.0687984480319 -37.6191562217149, -73.0678314414536 -37.618346232388, -72.773309449912 -37.5797770308921, -72.7717254168922 -37.5808230691751, -72.7072732395315 -37.6234368623756, -72.7049782713928 -37.6253268798214, -72.4871631536092 -37.829198404165, -72.4858041087161 -37.8312303785578, -72.4817722208811 -37.8394953927087, -72.4821873674035 -37.8413523767688, -72.5042045094505 -37.9200544056228, -72.5453822359847 -37.9960119963553, -72.5466743452421 -37.9977789490576, -72.5474924274745 -37.9988509684834, -72.5646135926374 -38.0166564761916, -72.5668627065458 -38.0188494423111, -72.5720190076133 -38.0215162780129, -72.5726710319631 -38.0216323001511, -72.5786452519874 -38.0226281769933))"
ANTOFAGASTA,"POLYGON ((-68.773585127175 -25.3984715508376, -68.9615357344823 -25.3894261506006, -69.0380514818702 -25.3827421770284, -70.5784709924317 -24.5520191392246, -70.5795060859515 -24.551319076871, -70.5800120439663 -24.5499880689256, -70.6274719281302 -23.5139310719571, -70.6272698648918 -23.5080299768596, -70.627169793327 -23.5051209525035, -70.6028159183826 -23.3592197952763, -70.6024218929779 -23.3587208247813, -70.0194704011843 -23.0595244977972, -70.0165802738118 -23.0583355558311, -70.0139911565088 -23.0574905758054, -68.3462964217026 -23.998929707416, -68.1177213616553 -24.2373207188992, -68.0680879069569 -24.3266622617838, -68.3432611680786 -25.1103423180949, -68.5301266540482 -25.2911176274351, -68.5314336692531 -25.2920496912434, -68.5405871126314 -25.2981726111254, -68.726412285371 -25.3895541053489, -68.773585127175 -25.3984715508376))"
ANTUCO,"POLYGON ((-71.23878722986 -37.657296508993, -71.2402993563464 -37.6570405158153, -71.8950721970835 -37.3495817351627, -71.547719807835 -37.0156842037177, -71.5460467202286 -37.0147932505827, -71.5445146583695 -37.0140022694115, -71.5372852041052 -37.0106574493236, -71.5308359719088 -37.008118585632, -71.5283468212133 -37.007347608975, -71.5228205591339 -37.0058177060214, -71.513482153517 -37.0048838475851, -71.5099090565785 -37.004566940249, -71.5051549057429 -37.0046750123554, -71.0954394224817 -37.1111687308136, -71.0930853123464 -37.1137416845785, -71.0928024313591 -37.115316770878, -71.0929525911023 -37.1207457075215, -71.1171429174761 -37.4902238617737, -71.1252137398639 -37.5807531134932, -71.1255787908943 -37.5818150743637, -71.1345825349565 -37.5956298658123, -71.1468753244403 -37.6081054870722, -71.1992826326309 -37.6539832543426, -71.200290699675 -37.6546772730646, -71.2202245251888 -37.6565898805272, -71.22296566836 -37.6567647920603, -71.23878722986 -37.657296508993))"
ARAUCO,"POLYGON ((-73.5589175427318 -37.4505023972525, -73.5800352781117 -37.4501190699298, -73.5803282816392 -37.4500649975644, -73.5971286806918 -37.4430687347996, -73.6709454808603 -37.3790768440291, -73.6841536225136 -37.3658327367432, -73.6844585250995 -37.365023710445, -73.6838296803209 -37.3344300066934, -73.6736300406125 -37.2556807721067, -73.6735049404831 -37.2553598094596, -73.6452252956254 -37.1970767356748, -73.5433860386877 -37.0032670426436, -73.5338336761801 -37.0032671862207, -73.5246973506365 -37.0032713844018, -73.1193719680668 -37.1543587835773, -73.0996764584168 -37.1633780626321, -73.0979504709811 -37.1655510284079, -73.0818647931643 -37.1977801097597, -73.0808668715393 -37.2001271557414, -73.0646148465736 -37.2548040136788, -73.1187754880507 -37.3475293473375, -73.1190454411675 -37.3477923153383, -73.1329812778302 -37.357051982329, -73.1410705530628 -37.3595538386087, -73.1435957414759 -37.3601448041293, -73.5412408533736 -37.4498207718203, -73.5580444546154 -37.4504914766085, -73.5589175427318 -37.4505023972525))"
