latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,comuna
-34.10727,-70.45786,367.0,0.42,0.61,2024-02-17,453,N,VIIRS,h,2.0NRT,290.48,9.0,N,MACHALI
-34.10656,-70.45536,324.18,0.42,0.61,2024-02-17,453,N,VIIRS,n,2.0NRT,289.42,5.54,N,MACHALI
-34.10534,-70.46004,345.32,0.42,0.61,2024-02-17,453,N,VIIRS,n,2.0NRT,290.72,8.63,N,MACHALI
-34.10217,-70.45415,313.57,0.42,0.61,2024-02-17,453,N,VIIRS,n,2.0NRT,289.19,2.12,N,MACHALI
-33.59546,-71.04425,323.39,0.46,0.64,2024-02-17,453,N,VIIRS,n,2.0NRT,288.41,2.19,N,MELIPILLA
-33.59404,-71.04939,304.87,0.47,0.64,2024-02-17,453,N,VIIRS,n,2.0NRT,287.6,2.19,N,MELIPILLA
-33.59289,-71.04552,335.59,0.47,0.64,2024-02-17,453,N,VIIRS,n,2.0NRT,289.1,4.02,N,MELIPILLA
-33.50647,-70.81329,315.24,0.45,0.63,2024-02-17,453,N,VIIRS,n,2.0NRT,288.85,2.07,N,MAIPU
-33.29438,-70.73184,313.4,0.46,0.63,2024-02-17,453,N,VIIRS,n,2.0NRT,291.39,1.68,N,COLINA
-26.42996,-69.48094,302.23,0.57,0.69,2024-02-17,453,N,VIIRS,n,2.0NRT,284.11,1.85,N,DIEGO DE ALMAGRO
-39.41344,-71.95351,347.54,0.37,0.58,2024-02-17,455,N,VIIRS,n,2.0NRT,274.64,3.7,N,PUCON
-26.43537,-69.48007,305.43,0.46,0.64,2024-02-17,631,N,VIIRS,n,2.0NRT,284.69,1.54,N,DIEGO DE ALMAGRO
-26.43243,-69.47835,326.85,0.46,0.64,2024-02-17,631,N,VIIRS,n,2.0NRT,284.98,2.71,N,DIEGO DE ALMAGRO
-26.42947,-69.47864,304.64,0.46,0.64,2024-02-17,631,N,VIIRS,n,2.0NRT,283.12,1.59,N,DIEGO DE ALMAGRO
-34.10879,-70.45971,312.67,0.47,0.64,2024-02-17,633,N,VIIRS,n,2.0NRT,288.29,2.92,N,MACHALI
-34.10293,-70.45561,298.83,0.47,0.64,2024-02-17,633,N,VIIRS,n,2.0NRT,287.8,1.74,N,MACHALI
-34.10269,-70.46048,320.94,0.47,0.64,2024-02-17,633,N,VIIRS,n,2.0NRT,288.73,1.74,N,MACHALI
-33.59665,-71.04478,307.92,0.43,0.62,2024-02-17,633,N,VIIRS,n,2.0NRT,287.24,1.61,N,MELIPILLA
-32.80173,-70.9524,323.32,0.43,0.62,2024-02-17,633,N,VIIRS,n,2.0NRT,288.8,2.53,N,CATEMU
-32.80143,-70.95698,316.2,0.43,0.62,2024-02-17,633,N,VIIRS,n,2.0NRT,289.54,3.57,N,CATEMU
-32.80131,-70.95355,339.33,0.43,0.62,2024-02-17,633,N,VIIRS,n,2.0NRT,289.19,4.18,N,CATEMU
-39.42319,-71.93102,299.03,0.43,0.62,2024-02-17,635,N,VIIRS,n,2.0NRT,270.29,4.95,N,PANGUIPULLI
-37.59977,-73.65517,299.44,0.33,0.55,2024-02-17,635,N,VIIRS,n,2.0NRT,285.3,0.43,N,LEBU
-37.59951,-73.65928,295.69,0.33,0.55,2024-02-17,635,N,VIIRS,n,2.0NRT,284.82,0.6,N,LEBU
-33.59915,-71.04171,301.42,2.64,1.56,2024-02-17,334,Terra,MODIS,n,6.1NRT,288.63,24.09,N,MELIPILLA
-33.59475,-71.04848,302.91,2.64,1.56,2024-02-17,334,Terra,MODIS,n,6.1NRT,288.61,27.72,N,MELIPILLA
-23.8249,-70.31835,296.02,0.42,0.38,2024-02-17,540,1,VIIRS,n,2.0NRT,285.04,0.63,N,ANTOFAGASTA
-23.82144,-70.31767,300.74,0.42,0.38,2024-02-17,540,1,VIIRS,n,2.0NRT,283.61,0.63,N,ANTOFAGASTA
-23.7784,-70.31764,297.28,0.42,0.38,2024-02-17,540,1,VIIRS,n,2.0NRT,283.35,0.93,N,ANTOFAGASTA
-26.43186,-69.47892,304.12,0.39,0.36,2024-02-17,542,1,VIIRS,n,2.0NRT,285.73,1.26,N,DIEGO DE ALMAGRO
-37.5135,-72.65614,301.36,0.39,0.36,2024-02-17,544,1,VIIRS,n,2.0NRT,290.99,0.51,N,NACIMIENTO
-34.41228,-70.99473,308.96,0.38,0.36,2024-02-17,544,1,VIIRS,n,2.0NRT,288.73,0.66,N,MALLOA
-34.10605,-70.45358,323.64,0.38,0.36,2024-02-17,544,1,VIIRS,n,2.0NRT,291.89,5.02,N,MACHALI
-34.1054,-70.45773,328.5,0.38,0.36,2024-02-17,544,1,VIIRS,n,2.0NRT,291.16,5.02,N,MACHALI
-33.59732,-71.04469,302.65,0.39,0.36,2024-02-17,544,1,VIIRS,n,2.0NRT,287.72,0.59,N,MELIPILLA
-33.594,-71.04394,345.08,0.39,0.36,2024-02-17,544,1,VIIRS,n,2.0NRT,290.33,4.72,N,MELIPILLA
-33.50908,-70.81092,304.04,0.38,0.36,2024-02-17,544,1,VIIRS,n,2.0NRT,288.24,0.32,N,MAIPU
-33.31311,-70.73962,307.69,0.38,0.36,2024-02-17,544,1,VIIRS,n,2.0NRT,290.68,1.11,N,LAMPA
-33.31245,-70.74374,311.3,0.38,0.36,2024-02-17,544,1,VIIRS,n,2.0NRT,290.65,1.11,N,LAMPA
-33.29456,-70.72684,329.24,0.38,0.36,2024-02-17,544,1,VIIRS,n,2.0NRT,294.18,4.22,N,COLINA
-33.14908,-70.83305,303.58,0.39,0.36,2024-02-17,544,1,VIIRS,n,2.0NRT,292.21,0.69,N,TILTIL
-32.80325,-70.95089,304.03,0.39,0.36,2024-02-17,544,1,VIIRS,n,2.0NRT,290.51,1.02,N,CATEMU
-32.80257,-70.95503,307.6,0.39,0.36,2024-02-17,544,1,VIIRS,n,2.0NRT,290.49,1.28,N,CATEMU
-41.42617,-72.97673,295.71,0.38,0.36,2024-02-17,546,1,VIIRS,n,2.0NRT,283.42,0.73,N,PUERTO MONTT
-41.39471,-72.8913,296.88,0.38,0.36,2024-02-17,546,1,VIIRS,n,2.0NRT,284.9,0.88,N,PUERTO MONTT
-39.41893,-71.93946,320.45,0.38,0.36,2024-02-17,546,1,VIIRS,n,2.0NRT,268.24,1.09,N,PANGUIPULLI
