comuna,count
MACHALI,13205
ANTOFAGASTA,10501
CALAMA,10010
CATEMU,6616
COPIAPO,4648
DIEGO DE ALMAGRO,3958
PUCHUNCAVI,3049
TALCAHUANO,2557
CHAITEN,2464
COLINA,2257
COIHUECO,1641
SAN CARLOS,831
CURANILAHUE,771
PANGUIPULLI,714
CABRERO,652
HUASCO,609
COLLIPULLI,591
SAN PEDRO DE ATACAMA,571
MULCHEN,565
TIRUA,542
CANETE,508
LOS ANGELES,483
ARAUCO,443
VICTORIA,382
ANGOL,374
CHILLAN,360
PARRAL,348
HUALQUI,338
LEBU,298
SANTA BARBARA,295
LINARES,288
PUERTO MONTT,284
NUEVA IMPERIAL,268
SANTA JUANA,264
COIHAIQUE,262
TUCAPEL,258
PUCON,253
LOTA,240
QUIRIHUE,229
CHIGUAYANTE,227
CAUQUENES,223
SAN JAVIER,219
TRAIGUEN,192
LOS ALAMOS,189
VILLARRICA,185
TILTIL,175
NATALES,161
LONCOCHE,155
NACIMIENTO,148
MOLINA,139
CONSTITUCION,134
LAGO RANCO,127
COELEMU,112
TOME,111
QUILLON,111
RIO BUENO,109
CORONEL,108
CURICO,107
OSORNO,103
FREIRE,103
LA UNION,101
MARIQUINA,96
VALPARAISO,93
CALERA,93
VALDIVIA,89
PAILLACO,86
ANCUD,85
QUILACO,83
BULNES,82
YUNGAY,78
LOS LAGOS,73
SAN CLEMENTE,73
PENCO,71
PUERTO VARAS,70
PURRANQUE,62
FRUTILLAR,61
YUMBEL,59
CONTULMO,59
CARAHUE,55
PADRE LAS CASAS,51
FRESIA,48
CASTRO,47
QUINTERO,45
COCHRANE,45
VICHUQUEN,43
LOS MUERMOS,42
IQUIQUE,39
LAJA,38
CONCEPCION,37
CHILE CHICO,36
COLBUN,32
SAN PEDRO DE LA PAZ,31
TALCA,30
PRIMAVERA,30
RENAICO,29
OVALLE,28
SAN ANTONIO,28
MAULLIN,27
LAS CABRAS,25
SAN ROSENDO,25
PAREDONES,25
NAVIDAD,24
RIO IBANEZ,23
QUILLECO,23
MARCHIHUE,22
LA ESTRELLA,22
SAN FERNANDO,21
FUTRONO,21
SANTO DOMINGO,19
PUREN,19
AISEN,19
QUILPUE,18
QUELLON,17
RENGO,17
VINA DEL MAR,16
O'HIGGINS,16
EL CARMEN,16
CHEPICA,16
LIMACHE,16
PENALOLEN,16
SANTA CRUZ,15
PORTEZUELO,15
PUDAHUEL,15
CISNES,14
QUILLOTA,14
PICHILEMU,14
SAAVEDRA,14
PUERTO OCTAY,14
QUEMCHI,13
LITUECHE,12
ARICA,12
LO BARNECHEA,12
SAN FELIPE,12
ERCILLA,12
PELLUHUE,12
MAULE,12
TEODORO SCHMIDT,11
SAN BERNARDO,11
MELIPILLA,11
PANQUEHUE,11
TENO,10
CORRAL,9
PICHIDEGUA,9
QUINCHAO,9
TEMUCO,9
PIRQUE,9
LAMPA,9
MONTE PATRIA,9
SAN IGNACIO,9
MEJILLONES,9
MALLOA,9
GRANEROS,9
CASABLANCA,8
SAN GREGORIO,8
CUREPTO,8
EMPEDRADO,8
NEGRETE,7
CURACO DE VELEZ,7
LA LIGUA,7
GALVARINO,7
ANTUCO,7
PEMUCO,7
REQUINOA,7
VALLENAR,7
PERALILLO,7
LUMACO,7
PINTO,7
NIQUEN,6
LA SERENA,6
PUYEHUE,6
CONCON,6
PENAFLOR,6
LA HIGUERA,6
COBQUECURA,6
DONIHUE,6
PAINE,6
PALMILLA,6
BUIN,5
ILLAPEL,5
LLAILAY,5
RANCAGUA,5
MAIPU,5
LONGAVI,5
QUEILEN,5
LA PINTANA,5
MOSTAZAL,5
CHIMBARONGO,4
FLORIDA,4
PUENTE ALTO,4
LA CRUZ,4
RECOLETA,4
QUILICURA,4
EL QUISCO,4
LICANTEN,4
TALTAL,3
TOCOPILLA,3
CARTAGENA,3
CHANCO,3
CALLE LARGA,3
NANCAGUA,3
FREIRINA,3
NUNOA,3
SAN JUAN DE LA COSTA,3
CUNCO,3
OLIVAR,3
VICUNA,2
LOS SAUCES,2
SAN NICOLAS,2
COINCO,2
CODEGUA,2
LLANQUIHUE,2
SAN RAFAEL,2
CERRILLOS,2
LOS ANDES,2
FUTALEUFU,2
TREGUACO,2
PADRE HURTADO,2
ALHUE,2
RENCA,2
LA FLORIDA,2
ALTO DEL CARMEN,2
LOS VILOS,2
ZAPALLAR,2
LAGO VERDE,2
SANTA MARIA,2
CALBUCO,2
TORTEL,2
CABILDO,2
COQUIMBO,2
SAN VICENTE,2
RINCONADA,2
TIMAUKEL,1
RIO NEGRO,1
PUTAENDO,1
RIO HURTADO,1
CALDERA,1
PUMANQUE,1
COLCHANE,1
VILCUN,1
TOLTEN,1
SAN PEDRO,1
RANQUIL,1
PROVIDENCIA,1
PEDRO AGUIRRE CERDA,1
CERRO NAVIA,1
CAMARONES,1
EL BOSQUE,1
SAN ESTEBAN,1
CHANARAL,1
PEUMO,1
CHONCHI,1
COLTAUCO,1
COCHAMO,1
