comuna,count
CONSTITUCION,11823
COLLIPULLI,9123
VICTORIA,7117
CAUQUENES,7116
LAUTARO,6601
GALVARINO,5723
FLORIDA,5299
TRAIGUEN,5118
MULCHEN,5109
LUMACO,4603
MOLINA,4502
ERCILLA,4496
CANETE,4195
TIRUA,4036
EL CARMEN,3961
SAN JAVIER,3878
LOS ANGELES,3660
HUALANE,3455
FREIRE,3321
COIHUECO,3295
ANGOL,3281
SANTA BARBARA,2973
PERQUENCO,2941
PARRAL,2889
COPIAPO,2847
CARAHUE,2780
VILCUN,2718
CUREPTO,2710
NUEVA IMPERIAL,2643
COLBUN,2620
CHILLAN,2436
EMPEDRADO,2405
SAN CARLOS,2382
CURICO,2377
MARCHIHUE,2296
ARAUCO,2242
HUALQUI,2119
CUNCO,2100
ANTOFAGASTA,2096
COBQUECURA,2066
PAREDONES,2031
PINTO,1980
PEMUCO,1953
VICHUQUEN,1939
ALHUE,1935
NIQUEN,1903
CURACAUTIN,1864
ANTUCO,1830
LONGAVI,1799
YUNGAY,1779
CHANCO,1775
CONTULMO,1692
COCHRANE,1611
CASABLANCA,1600
LOS SAUCES,1576
SAN CLEMENTE,1528
OSORNO,1518
QUILLECO,1514
CALAMA,1477
GORBEA,1476
MELIPILLA,1451
LINARES,1436
BULNES,1423
MARIA ELENA,1421
PUMANQUE,1406
TOME,1373
TALTAL,1352
TUCAPEL,1260
CHEPICA,1258
COLINA,1222
COELEMU,1215
YUMBEL,1206
LA UNION,1190
SAN IGNACIO,1181
LITUECHE,1175
SAN PEDRO,1126
PUERTO MONTT,1089
NACIMIENTO,1084
PICHIDEGUA,1003
DIEGO DE ALMAGRO,1001
MACHALI,1001
QUIRIHUE,988
CHANARAL,968
CARTAGENA,951
PALENA,950
CONCEPCION,948
LICANTEN,913
VALPARAISO,907
PADRE LAS CASAS,904
LIMACHE,867
RENGO,854
SAN NICOLAS,850
QUILLON,846
LOLOL,845
ROMERAL,844
QUILPUE,838
PERALILLO,817
MELIPEUCO,775
PENCAHUE,772
PORTEZUELO,759
LAMPA,750
PICHILEMU,745
MAULE,744
TENO,744
CURACAVI,742
TEODORO SCHMIDT,739
SAN FABIAN,721
SANTA CRUZ,708
SANTO DOMINGO,701
LA LIGUA,690
LAJA,688
CHIMBARONGO,685
YERBAS BUENAS,681
CATEMU,674
OVALLE,668
LAS CABRAS,661
QUILACO,657
SANTA JUANA,639
TILTIL,636
PALMILLA,627
PRIMAVERA,614
LA HIGUERA,610
BUIN,607
LA ESTRELLA,603
LEBU,592
CABRERO,592
LOS VILOS,572
MARIQUINA,567
SAN FERNANDO,566
LONQUIMAY,566
PITRUFQUEN,563
RETIRO,538
PAINE,538
POZO ALMONTE,534
NINHUE,511
PANGUIPULLI,496
VILLARRICA,488
PUCHUNCAVI,483
SAN ANTONIO,480
SAN PEDRO DE ATACAMA,478
ANCUD,476
MARIA PINTO,471
PURRANQUE,462
NATALES,458
PENCO,457
MOSTAZAL,453
SAGRADA FAMILIA,444
PELARCO,430
RENAICO,428
RIO BUENO,421
REQUINOA,420
SAN VICENTE,419
COLCHANE,416
LOS LAGOS,410
LONCOCHE,406
SAN PABLO,396
FRESIA,384
DALCAHUE,375
PIRQUE,366
CURANILAHUE,365
TEMUCO,362
CORONEL,357
NOGALES,355
LANCO,354
SAN JOSE DE MAIPO,343
TREGUACO,334
COLTAUCO,320
CAMARONES,316
CHONCHI,310
RANQUIL,309
CODEGUA,303
LOS ALAMOS,302
PUDAHUEL,297
PUERTO VARAS,297
NEGRETE,295
MALLOA,283
ISLA DE MAIPO,280
PICA,273
HIJUELAS,273
RIO NEGRO,267
MONTE PATRIA,266
PUREN,255
IQUIQUE,249
NANCAGUA,242
HUARA,235
PAILLACO,235
MAIPU,233
QUILLOTA,230
CHIGUAYANTE,228
TALCA,227
SAN RAFAEL,227
LAGO VERDE,225
NAVIDAD,221
PELLUHUE,220
CHAITEN,219
RANCAGUA,218
CALERA,218
VICUNA,216
RIO IBANEZ,215
CHILE CHICO,203
PADRE HURTADO,203
CASTRO,201
TALCAHUANO,200
FRUTILLAR,188
PUTRE,187
CABILDO,183
PUCON,182
MAFIL,176
SALAMANCA,170
SAN BERNARDO,167
RAUCO,162
OLMUE,162
PUERTO OCTAY,155
TOLTEN,154
COINCO,148
PUENTE ALTO,147
